pathway	sample-53	sample-52	sample-54	sample-70	sample-55
P441-PWY	2572.529275081903	1839.3987272008533	1694.025867888069	1698.333652693097	1556.4592580033611
P461-PWY	2406.885952591333	66.056868412837	2310.492068845819	95.75649363517272	303.69919294849075
P562-PWY	2.7801843686296728	76.74000913400977	17.483131598778908	26.716184058906414	44.291277686286094
PANTO-PWY	4096.983194859876	4072.1071823988054	3423.041176141788	5603.0978454351425	4599.677966382046
PANTOSYN-PWY	4531.925954546975	4322.877042208344	3884.0429565456507	6130.922048572906	5008.115304738952
PENTOSE-P-PWY	1552.7121684069189	932.9866831702595	1777.2772108176437	4589.838285026474	2807.619435430744
PEPTIDOGLYCANSYN-PWY	5991.882453569923	5707.354260568555	5314.2227854102475	7827.436954350993	6424.631545955032
PHOSLIPSYN-PWY	5986.061309974871	5356.569881097775	5174.079019448305	7741.244056498026	6804.521977383619
POLYAMINSYN3-PWY	103.88688399572143	917.8732440978695	314.4172517779765	359.63683343480636	889.9601954437736
POLYAMSYN-PWY	2218.3074500264634	883.3757021270684	2068.458681104504	904.4739592087395	914.7858178422723
POLYISOPRENSYN-PWY	4134.448289913323	4331.594003739668	3326.3035790694294	5828.284063154975	4165.32191423653
PPGPPMET-PWY	2972.6019749182515	20.252682496633252	1315.7831857700608	2.499565133695166	12.48727452503048
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	0.0	0.19199746438277696	0.1919976672063277	0.0	0.0
PRPP-PWY	3736.841240391847	2771.7733831823384	2623.9244695959633	4564.992154414097	3849.6284205533098
PWY-1269	4910.51629854466	3215.9313542733325	3616.7878677766207	3980.1675678886468	2464.508369473986
PWY-1861	187.06899876130967	87.10796023635086	79.01624754674496	134.35414469341129	146.0898588456181
PWY-2941	3586.1516065182627	344.5187186868519	2545.017099471561	664.290345580903	262.4961846129953
PWY-2942	6221.299942549569	6176.927621488522	5548.6119535500775	9010.939371322149	7167.4914274327175
PWY-3001	6431.816607773985	6127.877438369235	5662.086468660495	8587.229826493882	6977.3954498999865
PWY-3661	0.0	0.0	0.0	0.0	16.50108492277534
PWY-3781	17.986964373739013	1861.4019167766467	0.0	296.8365058986668	2153.1818688270573
PWY-4722	7.916155823610836	0.0	0.0	0.0	0.0
PWY-4984	511.9177285290541	508.0617128306636	183.13331969942035	388.02556124854027	572.7873873540639
PWY-5005	2144.075649811951	531.4182793319037	1887.780065479668	24.530333617165233	0.0
PWY-5022	1528.7313618352978	215.10981204218413	854.4428716264898	34.49298295669781	35.25717801082708
